Source,Title,Text,Date,Cluster,Theme,Category,Sentiment
https://t.me/UkraineNow,"**Кількість загиблих у Сумах зросла до двох **

Також відомо про девʼять потерпілих, двоє з них у ва",кількість загиблих сумах зросла до двох також відомо про девять потерпілих двоє них важкому стані повідомили сумській мва ми,2025-05-14,-1,-1_україна_санкція_росіянин_росія,політика,negative
https://t.me/UkraineNow,**Народні депутати звернулися до президента з проханням посмертно присвоїти звання Героя України жур,народні депутати звернулися до президента проханням посмертно присвоїти звання героя україни журналістці вікторії рощиній за проголосували 246 депутатів нагадаємо про смерть журналістки вікторії рощиної стало відомо 10 жовтня 2024 року вона померла російському полоні під час етапування таганрога до москви 24 квітня повідомили що понівечене тіло журналістки вікторії рощиної повернули до україни ми,2025-05-14,-1,-1_україна_санкція_росіянин_росія,політика,negative
https://t.me/UkraineNow,"**1 людина загинула, 7 – поранені внаслідок ракетного удару росіян по обʼєкту промисловості у Сумськ",людина загинула поранені внаслідок ракетного удару росіян по обєкту промисловості сумській громаді троє поранених вкрай важкому стані ова ми,2025-05-14,-1,-1_україна_санкція_росіянин_росія,політика,negative
https://t.me/UkraineNow,**Ворог завдав ракетного удару по обʼєкту промислової інфраструктури на території Сумської громади**,ворог завдав ракетного удару по обєкту промислової інфраструктури на території сумської громади попередньо постраждалі наслідки удару росіян зясовуються на місці події працюють відповідні служби ова ми,2025-05-14,-1,-1_україна_санкція_росіянин_росія,політика,negative
https://t.me/UkraineNow,"**Загроза застосування балістичного озброєння  в областях, де оголошено повітряну тривогу! - ПС
**
✅",загроза застосування балістичного озброєння областях де оголошено повітряну тривогу пс ми,2025-05-14,-1,-1_україна_санкція_росіянин_росія,політика,negative
https://t.me/UkraineNow,"**У Німеччині затримали трьох українців, завербованих росією для низки диверсій і терактів у ФРН, - ",німеччині затримали трьох українців завербованих росією для низки диверсій терактів фрн пише bild за даними німецьких слідчих заарештовані кельні та констанці молоді хлопці та дівчина мали відправляти посилки термітом які горіли або вибухнули під час транспортування вони вже встигли надіслати тестові посилки силовики побоюються що таких російських агентів німеччині може бути сотні ми,2025-05-14,-1,-1_україна_санкція_росіянин_росія,політика,negative
https://t.me/UkraineNow,"**Віктор Орбан скликав Раду оборони Угорщини через «безпрецедентну операцію спецслужб України»**

Ві",віктор орбан скликав раду оборони угорщини через безпрецедентну операцію спецслужб україни він звинуватив опозиційну угорську партію тиса змові україною операції секретної служби розпочатій проти його країни премєр угорщини заявив що скоординована кампанія дискредитації була розпочата щоб запобігти проведенню референдуму щодо членства україни єс ми,2025-05-14,-1,-1_україна_санкція_росіянин_росія,політика,negative
https://t.me/UkraineNow,"**Посли держав-членів Євросоюзу погодили 17 пакет санкцій проти рф **

""Ми ще більше обмежуємо досту",посли держав-членів євросоюзу погодили 17 пакет санкцій проти рф ми ще більше обмежуємо доступ до бойових технологій також додали до списку ще 189 суден тіньового флоту щоб вдарити по енергетичному експорту росії повідомила президентка єврокомісії урсула фон дер ляєн ми,2025-05-14,-1,-1_україна_санкція_росіянин_росія,політика,negative
https://t.me/UkraineNow,"**В Іспанії затримали колишнього першого заступника секретаря РНБО Олега Гладковського**

Його обвин",іспанії затримали колишнього першого заступника секретаря рнбо олега гладковського його обвинувачують організації закупівлі вантажних автомобілів підвищеної прохідності за завищеними цінами сума завданих збитків державі становить понад 17 млн грн жовтні 2019 року гладковського заарештували однак вже за кілька днів він вийшов під заставу березні 2022 року запобіжний захід змінили на особисте зобовязання обвинувачений перестав зявлятись на судових засіданнях та виїхав за кордон згодом його оголосили розшук ми,2025-05-14,-1,-1_україна_санкція_росіянин_росія,політика,negative
https://t.me/UkraineNow,"**Зеленський: війна не триватиме 10 років, Україна не витримає**

""Ніхто не знає, як довго вона (вій",зеленський війна не триватиме 10 років україна не витримає ніхто не знає як довго вона війна триватиме але не 10 років україна не витримає це дорого коштує всім не лише друзям ворогам сказав президент інтервю західним змі ми,2025-05-14,-1,-1_україна_санкція_росіянин_росія,політика,negative
